"DayOfTheWeek","Main","Total_Volume"
1,"BATHURST ST",17461
1,"MEADOWVALE RD",7809
1,"ZOO RD",1998
2,"ALBION RD",14758
2,"ALNESS ST",10181
2,"ANNETTE ST",8470
2,"ASHTONBEE RD",8370
2,"ATTWELL DR",6998
2,"AVENUE RD",116638
2,"BAMBURGH CRCL",4460
2,"BATHURST ST",217823
2,"BAY ST",11424
2,"BAYVIEW AVE",190108
2,"BELLAMY RD N",7253
2,"BERMONDSEY RD",11615
2,"BIRCHMOUNT RD",8462
2,"BLACK CREEK DR",28148
2,"BLOOR ST W",91840
2,"BREMNER BLVD",7045
2,"BRIMLEY RD",65324
2,"BROADVIEW AVE",29716
2,"BURNHAMTHORPE RD",65723
2,"CALEDONIA RD",26578
2,"CARLTON ST",14277
2,"CASTLEFIELD AVE",20314
2,"CHAPLIN CRES",8872
2,"CHERRY ST",28616
2,"CHRISTIE ST",8745
2,"CHURCH ST",17848
2,"COLLEGE ST",64347
2,"COMMISSIONERS ST",5337
2,"COMSTOCK RD",7062
2,"CORPORATE DR",6232
2,"COXWELL AVE",42588
2,"DANFORTH AVE",36808
2,"DANFORTH RD",9062
2,"DAVENPORT RD",65311
2,"DAWES RD",8431
2,"DIXON RD",37841
2,"DON MILLS RD",124976
2,"DON MILLS RD E",8329
2,"DONLANDS AVE",8705
2,"DORIS AVE",13185
2,"DUFFERIN ST",283527
2,"DUNDAS ST E",127896
2,"DUNDAS ST W",164606
2,"DUPLEX AVE",7033
2,"DUPONT ST",13871
2,"EASTERN AVE",41818
2,"EGLINTON AVE E",336277
2,"EGLINTON AVE W",423675
2,"ELLESMERE RD",94266
2,"ESTHER SHINER BLVD",8059
2,"EVANS AVE",12094
2,"FAIRVIEW MALL DR",4893
2,"FENMAR DR",9022
2,"FINCH AVE E",92760
2,"FINCH AVE W",144423
2,"FRONT ST W",30998
2,"GATEWAY BLVD",7117
2,"GERRARD ST E",44900
2,"GREENWOOD AVE",11060
2,"HOSKIN AVE",9719
2,"HUMBER COLLEGE BLVD",7671
2,"HUMBERWOOD BLVD",8264
2,"HUNTINGWOOD DR",8440
2,"ISLINGTON AVE",37973
2,"JANE ST",130174
2,"KEELE ST",65220
2,"KENNEDY RD",60588
2,"KING ST E",7221
2,"KING ST W",12136
2,"KINGSTON RD",110352
2,"KIPLING AVE",51306
2,"LAKE SHORE BLVD E",100944
2,"LAKE SHORE BLVD W",76855
2,"LANSDOWNE AVE",12476
2,"LAWRENCE AVE E",264086
2,"LAWRENCE AVE W",140127
2,"LESLIE ST",96791
2,"LOWER SIMCOE ST",7826
2,"MARKHAM RD",17006
2,"MARLEE AVE",14229
2,"MARTIN GROVE RD",61573
2,"MCCOWAN RD",128283
2,"MCLEVIN AVE",11486
2,"MCNICOLL AVE",9766
2,"MIDLAND AVE",16723
2,"MILNER AVE",6126
2,"MORNINGSIDE AVE",60034
2,"MORTIMER AVE",5963
2,"MOUNT PLEASANT RD",132987
2,"MURRAY ROSS PKWY",3941
2,"NORTH QUEEN ST",11349
2,"O CONNOR DR",68979
2,"OLD KINGSTON RD",5017
2,"ORIOLE PKWY",15271
2,"PARK HOME AVE",24062
2,"PARKSIDE DR",14076
2,"PHARMACY AVE",49341
2,"PORT UNION RD",14275
2,"PROGRESS AVE",49663
2,"QUEEN ST E",46671
2,"QUEEN ST W",10992
2,"QUEENS QUAY E",8464
2,"RANEE AVE",5002
2,"RATHBURN RD",14541
2,"RICHMOND ST E",16387
2,"RICHMOND ST W",5992
2,"RIVER ST",7494
2,"ROGERS RD",19955
2,"RONCESVALLES AVE",10754
2,"ROYAL YORK RD",11517
2,"SHEPPARD AVE E",60796
2,"SHEPPARD AVE W",35161
2,"SIMCOE ST",13527
2,"SPADINA AVE",26308
2,"ST CLAIR AVE W",122212
2,"ST GEORGE ST",10891
2,"STEELES AVE E",223904
2,"STEELES AVE W",156550
2,"TAPSCOTT RD",6827
2,"THE EAST MALL",9190
2,"THE QUEENSWAY",80686
2,"THE WEST MALL",15120
2,"TRETHEWEY DR",16082
2,"UNIVERSITY AVE",36542
2,"VICTORIA PARK AVE",97940
2,"WARDEN AVE",115879
2,"WELLINGTON ST W",13191
2,"WESTON RD",119883
2,"WILLIAM KITCHEN RD",7317
2,"WILLOWDALE AVE",27055
2,"WILSON AVE",64506
2,"WYNFORD DR",23083
2,"YONGE ST",240483
2,"YORKDALE RD",14052
2,"YORKLAND RD",10740
3,"ADELAIDE ST E",37282
3,"ADELAIDE ST W",34437
3,"ALBION RD",138158
3,"ALNESS ST",22426
3,"ANNETTE ST",8273
3,"AVENUE RD",161163
3,"BATHURST ST",244414
3,"BAY ST",130149
3,"BAYVIEW AVE",162162
3,"BELLAMY RD N",12278
3,"BERMONDSEY RD",8308
3,"BIRCHMOUNT RD",33490
3,"BLOOR ST W",178145
3,"BRIMLEY RD",23064
3,"BRITISH COLUMBIA RD",5861
3,"BROADVIEW AVE",38168
3,"BROWNS LINE",17657
3,"BURNHAMTHORPE RD",50369
3,"CALEDONIA RD",21949
3,"CARLTON ST",7115
3,"CHURCH ST",141015
3,"COLLEGE ST",86302
3,"DANFORTH AVE",108002
3,"DAVENPORT RD",11393
3,"DIXON RD",161197
3,"DON MILLS RD",136500
3,"DONLANDS AVE",13549
3,"DUFFERIN ST",197071
3,"DUNDAS ST E",26276
3,"DUNDAS ST W",181963
3,"EASTERN AVE",19550
3,"EGLINTON AVE E",86082
3,"EGLINTON AVE W",148309
3,"ELLESMERE RD",93567
3,"EVANS AVE",24251
3,"FINCH AVE E",298896
3,"FINCH AVE W",255587
3,"FRONT ST E",13530
3,"FRONT ST W",42641
3,"GARDINER E PARK LAWN RD RAMP",7957
3,"GATEWAY BLVD",8763
3,"GERRARD ST E",60099
3,"GREENWOOD AVE",8841
3,"HARBORD ST",22734
3,"HARBOUR ST",15905
3,"HIGHWAY 27",75773
3,"HORNER AVE",8924
3,"HUMBER COLLEGE BLVD",10936
3,"ISLINGTON AVE",148225
3,"JANE ST",225225
3,"JARVIS ST",190108
3,"KEELE ST",338712
3,"KENNEDY RD",137252
3,"KING ST E",61080
3,"KINGSTON RD",80346
3,"KIPLING AVE",242536
3,"LAKE SHORE BLVD E",11863
3,"LAKE SHORE BLVD W",201348
3,"LAWRENCE AVE E",276350
3,"LAWRENCE AVE W",80613
3,"LESLIE ST",71924
3,"LOWER JARVIS ST",17635
3,"LUMSDEN AVE",5969
3,"MARKHAM RD",134262
3,"MARLEE AVE",26946
3,"MARTIN GROVE RD",156373
3,"MCCOWAN RD",6698
3,"MCNICOLL AVE",19624
3,"MEADOWVALE RD",6129
3,"MIDLAND AVE",48508
3,"MILLWICK DR",13487
3,"MILLWOOD RD",5787
3,"MILNER AVE",25470
3,"MORNINGSIDE AVE",8313
3,"MOUNT PLEASANT RD",122593
3,"NEILSON RD",16583
3,"NORTH QUEEN ST",10172
3,"O CONNOR DR",55036
3,"OAKDALE RD",7787
3,"OAKWOOD AVE",14757
3,"OLD WESTON RD",7918
3,"OSSINGTON AVE",12903
3,"PARK LAWN RD",14100
3,"PARKWOODS VILLAGE DR",23215
3,"PARLIAMENT ST",28490
3,"PHARMACY AVE",92983
3,"PORT UNION RD",12224
3,"POYNTZ AVE",6514
3,"PRINCES BLVD",1518
3,"PROGRESS AVE",31833
3,"QUEEN ST E",95130
3,"QUEEN ST W",58971
3,"QUEENS PARK CRES E",13644
3,"QUEENS PARK CRES W",17479
3,"QUEENS QUAY W",18156
3,"RENFORTH DR",10695
3,"RICHMOND ST E",25545
3,"RICHMOND ST W",51666
3,"ROGERS RD",17979
3,"ROYAL YORK RD",32179
3,"SANDHURST CRCL",4253
3,"SCARBOROUGH GOLF CLUB RD",6204
3,"SCARLET RD",8476
3,"SCARLETT RD",43365
3,"SHEPPARD AVE E",197253
3,"SHEPPARD AVE W",127246
3,"SHERBOURNE ST",31212
3,"SHERWAY GARDENS RD",9713
3,"SHUTER ST",15621
3,"SIGNET DR",6679
3,"SOUTH KINGSWAY",10550
3,"SPADINA AVE",53656
